Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","Keystone-3000-CR1220-CR1216",-9.100000,66.900000,90.000000,top
"C1","220nF","C_0603_1608Metric",16.825000,15.400000,-90.000000,top
"C2","4.7uF","C_1206_3216Metric",14.625000,-0.300000,0.000000,top
"C3","220nF","C_0603_1608Metric",18.150000,4.900000,90.000000,top
"C4","220nF","C_0603_1608Metric",8.150000,4.900000,90.000000,top
"C5","4.7uF","C_1206_3216Metric",16.250000,4.850000,90.000000,top
"C6","4.7uF","C_1206_3216Metric",1.650000,5.350000,90.000000,top
"C7","1uF","C_0603_1608Metric",4.550000,-0.350000,180.000000,top
"C8","1uF","C_0603_1608Metric",18.410000,-0.330000,0.000000,top
"C9","100nF","C_0603_1608Metric",3.650000,1.900000,-90.000000,top
"C10","100nF","C_0603_1608Metric",18.141600,1.920600,90.000000,top
"C11","18pF","C_0603_1608Metric",11.300000,-0.170000,-90.000000,top
"C12","15pF","C_0603_1608Metric",22.870000,-0.850000,180.000000,top
"C13","47uF","C_1206_3216Metric",9.850000,9.500000,-90.000000,top
"C14","47uF","C_1206_3216Metric",13.850000,10.100000,-90.000000,top
"C15","47uF","C_1206_3216Metric",1.650000,9.975000,-90.000000,top
"C16","47uF","C_1206_3216Metric",16.240000,10.100000,-90.000000,top
"C17","100nF","C_0603_1608Metric",11.750000,9.800000,-90.000000,top
"C18","100nF","C_0603_1608Metric",24.050000,13.150000,180.000000,top
"C19","DNP","C_0402_1005Metric",10.250000,94.295000,0.000000,top
"C20","DNP","C_0402_1005Metric",10.250000,93.345000,180.000000,top
"C21","15pF","C_0603_1608Metric",4.150000,80.300000,90.000000,top
"C22","47uF","C_0805_2012Metric",4.400000,83.500000,90.000000,top
"C23","47uF","C_0805_2012Metric",4.400000,77.100000,-90.000000,top
"C24","DNP 4.7uF","C_0805_2012Metric",0.350000,13.300000,0.000000,top
"C26","100nF","C_0603_1608Metric",0.050000,17.200000,0.000000,top
"C28","1nF","C_0603_1608Metric",0.050000,15.700000,0.000000,top
"C29","47uF","C_0805_2012Metric",-7.800000,38.400000,0.000000,top
"C30","100nF","C_0603_1608Metric",-11.000000,38.150000,180.000000,top
"C31","1uF","C_0603_1608Metric",25.126992,21.926992,-135.000000,top
"C32","100nF","C_0603_1608Metric",26.176992,20.876992,-135.000000,top
"C33","100nF","C_0603_1608Metric",31.350000,17.350000,-45.000000,top
"C34","100nF","C_0603_1608Metric",-6.100000,58.500000,-90.000000,top
"C35","100nF","C_0603_1608Metric",-6.100000,52.825000,90.000000,top
"C36","100nF","C_0603_1608Metric",-1.200000,51.150000,90.000000,top
"C37","100nF","C_0603_1608Metric",27.600000,69.100000,-90.000000,top
"C38","100nF","C_0603_1608Metric",-3.300000,91.450000,90.000000,top
"C39","100nF","C_0603_1608Metric",33.450000,19.450000,-45.000000,top
"C40","1uF","C_0603_1608Metric",32.398008,18.401992,-45.000000,top
"C41","220nF","C_0603_1608Metric",22.600000,4.900000,90.000000,top
"C42","220nF","C_0603_1608Metric",3.650000,4.900000,90.000000,top
"C43","4.7uF","C_1206_3216Metric",25.920000,-1.800000,-90.000000,top
"C44","4.7uF","C_1206_3216Metric",11.200000,6.000000,180.000000,top
"C45","4.7uF","C_1206_3216Metric",28.250000,-1.800000,-90.000000,top
"C101","100nF","C_0402_1005Metric",45.400000,15.250000,-90.000000,top
